number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
11,0.13034647642530042,2026-08-23 14:01:50.646954,2026-08-23 14:01:55.238686,0 days 00:00:04.591732,0.8749034832971032,0.03311363832809272,6,4,500,0.6059868538628308,COMPLETE
12,0.1281728070113633,2026-08-23 14:01:55.243808,2026-08-23 14:02:00.081982,0 days 00:00:04.838174,0.9062715893852764,0.03419966596793743,5,3,600,0.6746308862120084,COMPLETE
13,0.12708035734753792,2026-08-23 14:02:00.088360,2026-08-23 14:02:04.750053,0 days 00:00:04.661693,0.9108515154059553,0.03115113655880895,4,2,700,0.6900321205130087,COMPLETE
14,0.12974578101933198,2026-08-23 14:02:04.756542,2026-08-23 14:02:09.850334,0 days 00:00:05.093792,0.9024681617302658,0.045255719317634654,4,3,600,0.6974510582367778,COMPLETE
15,0.13522664542892443,2026-08-23 14:02:09.859472,2026-08-23 14:02:14.710527,0 days 00:00:04.851055,0.9187505552661245,0.14686055533171538,4,3,700,0.6922531983245171,COMPLETE
16,0.12799971599669402,2026-08-23 14:02:14.715799,2026-08-23 14:02:18.897286,0 days 00:00:04.181487,0.7874098343719141,0.035853341917429185,4,2,600,0.7924900753790017,COMPLETE
17,0.1295730530985751,2026-08-23 14:02:18.902550,2026-08-23 14:02:24.361853,0 days 00:00:05.459303,0.7340354768499959,0.051373169316735086,4,2,800,0.8100060540591976,COMPLETE
18,0.13249349286603515,2026-08-23 14:02:24.368136,2026-08-23 14:02:27.101006,0 days 00:00:02.732870,0.7602287823965527,0.10633302085685385,3,5,500,0.7768319407964756,COMPLETE
19,0.1289369676913334,2026-08-23 14:02:27.106366,2026-08-23 14:02:31.794522,0 days 00:00:04.688156,0.7997761897935725,0.03013147244688233,4,2,700,0.8875883597605201,COMPLETE
20,0.1295693357759575,2026-08-23 14:02:31.799831,2026-08-23 14:02:36.023638,0 days 00:00:04.223807,0.8439612117549429,0.02040955680312623,5,2,500,0.7381645151696874,COMPLETE
21,0.12860193644831774,2026-08-23 14:02:36.028923,2026-08-23 14:02:40.939215,0 days 00:00:04.910292,0.9221782401568472,0.028306486033994882,5,3,600,0.6732516391922394,COMPLETE
22,0.1304395559241009,2026-08-23 14:02:40.944573,2026-08-23 14:02:46.246956,0 days 00:00:05.302383,0.9472149421912515,0.03901983385581658,4,5,800,0.6572316103877966,COMPLETE
23,0.12955656442666091,2026-08-23 14:02:46.252102,2026-08-23 14:02:49.608926,0 days 00:00:03.356824,0.8751623188916726,0.05050852192619023,3,2,600,0.7184719800602968,COMPLETE
24,0.12912667411043102,2026-08-23 14:02:49.614527,2026-08-23 14:02:52.864066,0 days 00:00:03.249539,0.7903963726986009,0.022466638766863452,5,3,400,0.7797626372484466,COMPLETE
25,0.12938935041827976,2026-08-23 14:02:52.869397,2026-08-23 14:02:59.230572,0 days 00:00:06.361175,0.8693099620132979,0.015880690250930158,6,5,700,0.6422181606381048,COMPLETE
26,0.13553718458786354,2026-08-23 14:02:59.236033,2026-08-23 14:03:05.385555,0 days 00:00:06.149522,0.9469511263086035,0.062397322369961775,7,1,500,0.8377833245781833,COMPLETE
27,0.12732663510331516,2026-08-23 14:03:05.390476,2026-08-23 14:03:11.187219,0 days 00:00:05.796743,0.69290145732035,0.03584961470238191,4,2,900,0.7025764018814638,COMPLETE
28,0.12771023824261948,2026-08-23 14:03:11.192533,2026-08-23 14:03:17.003865,0 days 00:00:05.811332,0.7021685871815985,0.024789359516266565,4,2,900,0.7105937967199037,COMPLETE
29,0.1286551598451781,2026-08-23 14:03:17.009216,2026-08-23 14:03:22.354954,0 days 00:00:05.345738,0.7120245376975509,0.01033439352420477,3,1,1000,0.7131942301838741,COMPLETE
30,0.13426767620972066,2026-08-23 14:03:22.360310,2026-08-23 14:03:31.550013,0 days 00:00:09.189703,0.6977369103458366,0.11294057520151979,10,4,900,0.635495214177342,COMPLETE
31,0.1280695500072262,2026-08-23 14:03:31.555163,2026-08-23 14:03:36.810656,0 days 00:00:05.255493,0.7638616959830411,0.02540571193649587,4,2,800,0.7767669276924114,COMPLETE
32,0.12747968961993578,2026-08-23 14:03:36.816495,2026-08-23 14:03:42.648093,0 days 00:00:05.831598,0.7079757150318999,0.03803499492624685,4,2,900,0.7579033683279733,COMPLETE
33,0.127609279396129,2026-08-23 14:03:42.653457,2026-08-23 14:03:48.018243,0 days 00:00:05.364786,0.7053880932782648,0.041747729679177614,3,1,1000,0.7497359666945619,COMPLETE
34,0.12847281617992642,2026-08-23 14:03:48.023416,2026-08-23 14:03:53.327586,0 days 00:00:05.304170,0.683147699110273,0.0582545738411169,3,1,1000,0.7552568010142607,COMPLETE
35,0.1262642682074061,2026-08-23 14:03:53.332976,2026-08-23 14:03:58.023492,0 days 00:00:04.690516,0.6004114779029686,0.04244978475751568,3,1,900,0.7527271956317905,COMPLETE
36,0.13011514960400422,2026-08-23 14:03:58.031229,2026-08-23 14:04:02.266046,0 days 00:00:04.234817,0.6183667926215523,0.07217734357153906,3,3,800,0.7254849921372226,COMPLETE
37,0.12895507108485976,2026-08-23 14:04:02.271387,2026-08-23 14:04:09.212558,0 days 00:00:06.941171,0.6002357558300473,0.08106869227902624,5,1,900,0.6797029749252083,COMPLETE
38,0.12882292355077307,2026-08-23 14:04:09.217694,2026-08-23 14:04:14.981204,0 days 00:00:05.763510,0.6403589431555962,0.050081742228689795,4,4,900,0.8119467046842556,COMPLETE
39,0.12857644244224584,2026-08-23 14:04:14.986323,2026-08-23 14:04:19.357522,0 days 00:00:04.371199,0.6297240358883734,0.017971909319809472,3,2,800,0.8916356296583147,COMPLETE
40,0.13261008224524276,2026-08-23 14:04:19.363018,2026-08-23 14:04:33.807425,0 days 00:00:14.444407,0.6718419928641807,0.02985710281730182,9,3,1000,0.7565220635283312,COMPLETE
41,0.12700010648247848,2026-08-23 14:04:33.813892,2026-08-23 14:04:39.313845,0 days 00:00:05.499953,0.7218384859266878,0.04293414919170063,3,1,1000,0.7492369665933142,COMPLETE
42,0.12828761009427064,2026-08-23 14:04:39.319140,2026-08-23 14:04:44.467879,0 days 00:00:05.148739,0.7323063803334797,0.04220097329206182,3,1,900,0.6983493748768466,COMPLETE
43,0.12670882174724774,2026-08-23 14:04:44.478630,2026-08-23 14:04:52.850014,0 days 00:00:08.371384,0.7571261271033418,0.037543286670618424,4,2,1000,0.7299301046772041,COMPLETE
44,0.12825895504224663,2026-08-23 14:04:52.862749,2026-08-23 14:04:59.128433,0 days 00:00:06.265684,0.742961810790845,0.058399572777194826,3,1,1000,0.7283163604053214,COMPLETE
45,0.13129600614637732,2026-08-23 14:04:59.135523,2026-08-23 14:05:07.272715,0 days 00:00:08.137192,0.762758820341745,0.04688058298928101,5,8,1000,0.6624399705748948,COMPLETE
46,0.12588397036583202,2026-08-23 14:05:07.279850,2026-08-23 14:05:14.301110,0 days 00:00:07.021260,0.6586478468283854,0.03216172579336654,4,1,1000,0.6279114428608734,COMPLETE
47,0.1274384433978059,2026-08-23 14:05:14.309978,2026-08-23 14:05:19.805683,0 days 00:00:05.495705,0.6598976466119694,0.03204889457581236,3,1,1000,0.6411394995690772,COMPLETE
48,0.12518128774407772,2026-08-23 14:05:19.812290,2026-08-23 14:05:27.151939,0 days 00:00:07.339649,0.6078111566002403,0.027418565393800737,4,1,1000,0.6168055337787058,COMPLETE
49,0.12669736574084228,2026-08-23 14:05:27.159674,2026-08-23 14:05:36.983080,0 days 00:00:09.823406,0.601664224525674,0.025977968353499657,5,1,1000,0.615169294717795,COMPLETE
