iter	Passed	Remaining
767	1429	431
768	1431	430
769	1433	428
770	1434	426
771	1436	424
772	1438	422
773	1440	420
774	1441	418
775	1443	416
776	1445	414
777	1446	412
778	1448	411
779	1450	409
780	1452	407
781	1454	405
782	1456	403
783	1457	401
784	1459	399
785	1461	397
786	1462	395
787	1464	393
788	1466	392
789	1467	390
790	1469	388
791	1471	386
792	1473	384
793	1474	382
794	1476	380
795	1478	378
796	1479	376
797	1481	375
798	1483	373
799	1485	371
800	1487	369
801	1488	367
802	1490	365
803	1492	363
804	1493	361
805	1495	359
806	1497	358
807	1498	356
808	1500	354
809	1502	352
810	1503	350
811	1505	348
812	1507	346
813	1509	344
814	1510	342
815	1512	341
816	1514	339
817	1515	337
818	1517	335
819	1519	333
820	1521	331
821	1523	329
822	1524	327
823	1526	326
824	1528	324
825	1530	322
826	1531	320
827	1533	318
828	1535	316
829	1537	314
830	1538	312
831	1540	311
832	1542	309
833	1544	307
834	1546	305
835	1548	303
836	1549	301
837	1551	299
838	1553	298
839	1554	296
840	1556	294
841	1558	292
842	1560	290
843	1561	288
844	1563	286
845	1565	284
846	1566	283
847	1568	281
848	1570	279
849	1571	277
850	1573	275
851	1575	273
852	1576	271
853	1578	269
854	1580	267
855	1582	266
856	1583	264
857	1585	262
858	1587	260
859	1588	258
860	1590	256
861	1592	254
862	1593	253
863	1595	251
864	1597	249
865	1599	247
866	1600	245
867	1602	243
868	1604	241
869	1605	239
870	1607	238
871	1609	236
872	1611	234
873	1613	232
874	1615	230
875	1617	228
876	1618	227
877	1620	225
878	1622	223
879	1624	221
880	1625	219
881	1627	217
882	1629	215
883	1631	214
884	1632	212
885	1634	210
886	1636	208
887	1637	206
888	1639	204
889	1641	202
890	1642	200
891	1644	199
892	1646	197
893	1648	195
894	1649	193
895	1651	191
896	1653	189
897	1655	187
898	1656	186
899	1658	184
900	1660	182
901	1661	180
902	1663	178
903	1665	176
904	1667	175
905	1668	173
906	1670	171
907	1672	169
908	1674	167
909	1676	165
910	1678	163
911	1680	162
912	1681	160
913	1683	158
914	1685	156
915	1686	154
916	1688	152
917	1690	151
918	1692	149
919	1693	147
920	1695	145
921	1697	143
922	1698	141
923	1700	139
924	1702	138
925	1703	136
926	1705	134
927	1707	132
928	1709	130
929	1711	128
930	1712	126
931	1714	125
932	1716	123
933	1717	121
934	1719	119
935	1721	117
936	1723	115
937	1725	114
938	1726	112
939	1728	110
940	1730	108
941	1732	106
942	1733	104
943	1735	102
944	1737	101
945	1739	99
946	1741	97
947	1743	95
948	1744	93
949	1746	91
950	1747	90
951	1749	88
952	1751	86
953	1752	84
954	1754	82
955	1756	80
956	1758	79
957	1760	77
958	1761	75
959	1763	73
960	1765	71
961	1766	69
962	1768	67
963	1770	66
964	1772	64
965	1773	62
966	1775	60
967	1777	58
968	1778	56
969	1780	55
970	1782	53
971	1784	51
972	1785	49
973	1787	47
974	1789	45
975	1790	44
976	1792	42
977	1794	40
978	1796	38
979	1797	36
980	1799	34
981	1801	33
982	1803	31
983	1804	29
984	1806	27
985	1808	25
986	1810	23
987	1811	22
988	1813	20
989	1815	18
990	1816	16
991	1818	14
992	1820	12
993	1822	10
994	1823	9
995	1825	7
996	1826	5
997	1828	3
998	1830	1
999	1832	0
