iter	RMSE
848	5653.953995
849	5642.865523
850	5634.561329
851	5622.655613
852	5617.278156
853	5614.569489
854	5605.130728
855	5598.670779
856	5586.641008
857	5575.083141
858	5566.69426
859	5556.878049
860	5551.336684
861	5544.324777
862	5532.764006
863	5527.113404
864	5521.890603
865	5515.512938
866	5509.173286
867	5504.299903
868	5499.347931
869	5494.765499
870	5489.8861
871	5482.596187
872	5475.457619
873	5467.839358
874	5456.742368
875	5452.741219
876	5441.699828
877	5430.184314
878	5422.426257
879	5415.561253
880	5410.03037
881	5398.035797
882	5389.612179
883	5379.743533
884	5368.014873
885	5358.60838
886	5348.963147
887	5344.497572
888	5333.879013
889	5328.064443
890	5320.591157
891	5313.999747
892	5305.596808
893	5299.55463
894	5290.019541
895	5287.276889
896	5278.885819
897	5270.927349
898	5265.382575
899	5258.133661
900	5252.522296
901	5242.559677
902	5237.15577
903	5232.696282
904	5228.487025
905	5222.169908
906	5214.289088
907	5200.954174
908	5196.233425
909	5187.231976
910	5178.990405
911	5172.210159
912	5161.824121
913	5154.867112
914	5147.365613
915	5141.015555
916	5132.715824
917	5124.39849
918	5120.473633
919	5114.996057
920	5108.212285
921	5098.039924
922	5094.527897
923	5088.148921
924	5082.255743
925	5080.838694
926	5074.142484
927	5067.66907
928	5062.993388
929	5055.193653
930	5045.934251
931	5040.780029
932	5035.326917
933	5029.473433
934	5022.697607
935	5014.450566
936	5004.642336
937	4993.983991
938	4986.219187
939	4974.195306
940	4963.636325
941	4960.14128
942	4956.625156
943	4949.541479
944	4940.174408
945	4932.691372
946	4923.985953
947	4919.382339
948	4913.741022
949	4907.557942
950	4899.413027
951	4891.420714
952	4884.419638
953	4881.216767
954	4877.540739
955	4869.150412
956	4863.470382
957	4853.643568
958	4847.76872
959	4839.300645
960	4833.492329
961	4824.237182
962	4819.17261
963	4816.955396
964	4813.65384
965	4805.026939
966	4799.507508
967	4791.536051
968	4788.563989
969	4782.974291
970	4775.707685
971	4771.30178
972	4767.64933
973	4761.449599
974	4753.737142
975	4749.503611
976	4743.117461
977	4738.445898
978	4730.535435
979	4724.211082
980	4717.803309
981	4710.427553
982	4705.388676
983	4701.419163
984	4695.816056
985	4689.250388
986	4684.677568
987	4677.515119
988	4669.20284
989	4659.775616
990	4653.623486
991	4645.707812
992	4640.999418
993	4632.715636
994	4628.246816
995	4622.543049
996	4618.548097
997	4608.351538
998	4600.403182
999	4594.23777
